time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/n_updates,train/value_loss,train/clip_range
182272,89,2007,90,-16.43872433900833,0.0003,17888.6796875,-0.0158005952835083,0.18173828125,-0.0346813136304263,0.017287534,1.2545356750488281,880,37311.90883789062,0.2
184320,90,2061,89,-16.469320595264435,0.0003,29729.369140625,9.250640869140625e-05,0.1669921875,-0.03365338378935121,0.016572278,1.2609739303588867,890,53779.44365234375,0.2
186368,91,2117,88,-16.535868817567824,0.0003,26968.728515625,2.980232238769531e-07,0.16669921875,-0.030927340871130582,0.015995437,1.2695889472961426,900,58762.280981445314,0.2
188416,92,2173,86,-16.57472030520439,0.0003,21770.640625,-2.384185791015625e-07,0.157421875,-0.02939001950871898,0.013860142,1.2722976207733154,910,43365.21402587891,0.2
190464,93,2232,85,-16.584919214248657,0.0003,21811.7109375,-1.1920928955078125e-07,0.202294921875,-0.035276879016601016,0.017597537,1.2728407382965088,920,44942.23641357422,0.2
192512,94,2290,84,-16.600344133377074,0.0003,16999.56640625,-0.033864617347717285,0.160302734375,-0.03282671574997949,0.016645316,1.275688886642456,930,45860.88803710938,0.2
194560,95,2349,82,-16.608806097507475,0.0003,23812.4453125,-0.05655562877655029,0.17548828125,-0.03312976367160445,0.015569284,1.2766437530517578,940,44315.700927734375,0.2
196608,96,2410,81,-16.63532861471176,0.0003,16710.990234375,-0.0007839202880859375,0.190966796875,-0.03330356458609458,0.01746424,1.2809630632400513,950,34686.27805786133,0.2
198656,97,2469,80,-16.674203503131867,0.0003,22578.751953125,-0.02544271945953369,0.181787109375,-0.03439768046955578,0.01770465,1.2851591110229492,960,47848.81895751953,0.2
200704,98,2530,79,-16.68435314297676,0.0003,17191.373046875,-0.01942145824432373,0.170947265625,-0.03393879752402427,0.01621541,1.2852165699005127,970,42641.63361206055,0.2
202752,99,2592,78,-16.698878693580628,0.0003,18045.5859375,-7.641315460205078e-05,0.165576171875,-0.03315246487618424,0.015578537,1.2871290445327759,980,41248.016357421875,0.2
204800,100,2652,77,-16.707095509767534,0.0003,26216.076171875,-0.006669163703918457,0.16806640625,-0.0329715584841324,0.015633242,1.2884578704833984,990,52563.102294921875,0.2
206848,101,2711,76,-16.742190110683442,0.0003,10160.830078125,-3.5881996154785156e-05,0.199951171875,-0.033729284653963985,0.017676853,1.2956111431121826,1000,33055.295397949216,0.2
208896,102,2773,75,-16.795604234933855,0.0003,22921.896484375,3.5762786865234375e-07,0.203662109375,-0.035110139983589764,0.017689893,1.3028112649917603,1010,46304.3795288086,0.2
210944,103,2834,74,-16.829070776700974,0.0003,18824.701171875,5.960464477539063e-08,0.178125,-0.03356717280548764,0.015707517,1.3061139583587646,1020,41844.17563476563,0.2
212992,104,2902,73,-16.85027825832367,0.0003,32494.94140625,4.172325134277344e-07,0.156494140625,-0.03124637859145878,0.014346087,1.3078863620758057,1030,54586.758776855466,0.2
215040,105,2972,72,-16.869306403398515,0.0003,22008.93359375,0.0,0.177490234375,-0.031070757473935375,0.017937802,1.3094757795333862,1040,42093.868615722655,0.2
217088,106,3040,71,-16.899762576818468,0.0003,25606.728515625,0.0,0.183056640625,-0.030291513439442495,0.017242761,1.3159675598144531,1050,50268.01981201172,0.2
219136,107,3106,70,-16.929507702589035,0.0003,20704.94921875,1.7881393432617188e-07,0.200537109375,-0.03772893988934811,0.018100835,1.3189613819122314,1060,43170.5191772461,0.2
221184,108,3173,69,-16.95487412214279,0.0003,14923.544921875,5.602836608886719e-06,0.182373046875,-0.03298847647092771,0.014070532,1.3215551376342773,1070,33400.72455444336,0.2
223232,109,3240,68,-16.98507986664772,0.0003,14182.8525390625,0.0069741010665893555,0.141162109375,-0.0276773990408401,0.013735894,1.3261371850967407,1080,31126.97137451172,0.2
225280,110,3311,68,-16.992003124952316,0.0003,20136.607421875,0.002939939498901367,0.15390625,-0.03149185193324229,0.015262949,1.325846552848816,1090,48094.887634277344,0.2
227328,111,3381,67,-17.0168635904789,0.0003,24819.30078125,-0.00026488304138183594,0.20048828125,-0.03455709506379208,0.01857964,1.332095742225647,1100,46724.03361206055,0.2
229376,112,3451,66,-17.057290649414064,0.0003,25766.658203125,8.940696716308594e-06,0.21435546875,-0.03706783679663204,0.021324798,1.335229516029358,1110,43121.00874023438,0.2
231424,113,3519,65,-17.065780061483384,0.0003,23390.091796875,0.00010347366333007812,0.20322265625,-0.03563676974881673,0.01953962,1.3360823392868042,1120,43290.66567993164,0.2
233472,114,3592,64,-17.116498172283173,0.0003,10150.7236328125,-7.367134094238281e-05,0.239697265625,-0.031374055665219204,0.022194777,1.3469455242156982,1130,30411.850088500978,0.2
235520,115,3663,64,-17.153971672058105,0.0003,17292.08203125,-2.384185791015625e-07,0.158837890625,-0.030291296982613857,0.014093211,1.3484632968902588,1140,39767.666442871094,0.2
237568,116,3735,63,-17.168506610393525,0.0003,14241.267578125,0.00024694204330444336,0.18369140625,-0.03285996068370878,0.015835207,1.3509479761123657,1150,35587.54096679688,0.2
239616,117,3807,62,-17.1744968354702,0.0003,28481.455078125,0.009216010570526123,0.10546875,-0.02324311904521892,0.011228325,1.3509414196014404,1160,43766.32133789062,0.2
241664,118,3883,62,-17.199574905633927,0.0003,18617.38671875,0.004078030586242676,0.143359375,-0.027992954877845477,0.013423351,1.3560025691986084,1170,40239.83807373047,0.2
243712,119,3960,61,-17.237953889369965,0.0003,19087.458984375,-0.002335190773010254,0.2095703125,-0.03295175448292866,0.017984612,1.3616615533828735,1180,41444.753845214844,0.2
245760,120,4035,60,-17.266374492645262,0.0003,21776.3359375,0.00017255544662475586,0.180126953125,-0.034660452694515696,0.016453993,1.3652763366699219,1190,51281.63576660156,0.2
247808,121,4107,60,-17.310558462142943,0.0003,24341.0546875,0.0014532804489135742,0.1939453125,-0.03200851229194086,0.017684598,1.3718407154083252,1200,43563.98119506836,0.2
249856,122,4179,59,-17.357925271987916,0.0003,22825.765625,-0.00043523311614990234,0.17109375,-0.0322701788667473,0.01673174,1.3790971040725708,1210,49558.67703857422,0.2
251904,123,4251,59,-17.423226916790007,0.0003,24400.0859375,-7.402896881103516e-05,0.199853515625,-0.03192057426203974,0.018234488,1.388116478919983,1220,48085.97529296875,0.2
253952,124,4323,58,-17.494465082883835,0.0003,19399.201171875,-0.04337871074676514,0.206494140625,-0.035899196492391636,0.019131668,1.3979986906051636,1230,42809.467266845706,0.2
256000,125,4396,58,-17.55841385126114,0.0003,23436.58203125,0.0006225109100341797,0.209716796875,-0.035138743466814046,0.01984539,1.4077314138412476,1240,41127.500787353514,0.2
258048,126,4469,57,-17.600991064310072,0.0003,12779.85546875,0.003937900066375732,0.160546875,-0.026267362854559904,0.015337537,1.4106534719467163,1250,34650.211895751956,0.2
260096,127,4542,57,-17.631480515003204,0.0003,19509.5234375,-0.004875063896179199,0.1283203125,-0.023586786140367622,0.013168323,1.415949821472168,1260,45669.383624267575,0.2
262144,128,4616,56,-17.69317356348038,0.0003,22654.05078125,-0.018668651580810547,0.183935546875,-0.03109387205186067,0.017108887,1.4271020889282227,1270,42705.03593139649,0.2
264192,129,4689,56,-17.7440263569355,0.0003,16191.22265625,0.008459925651550293,0.1228515625,-0.02207325244526146,0.011895498,1.4335212707519531,1280,33813.81850585937,0.2
266240,130,4764,55,-17.79020438194275,0.0003,20243.251953125,0.00161057710647583,0.18583984375,-0.0330813209147891,0.017227432,1.440303921699524,1290,40912.91666259766,0.2
268288,131,4839,55,-17.83673967719078,0.0003,26958.267578125,0.00030410289764404297,0.1732421875,-0.031485916452948,0.014847867,1.4458606243133545,1300,47641.59119873047,0.2
270336,132,4914,55,-17.854567766189575,0.0003,25462.267578125,0.03724700212478638,0.083349609375,-0.018258812568819848,0.01016397,1.4472577571868896,1310,47306.34254150391,0.2
272384,133,4989,54,-17.868670123815537,0.0003,10764.1767578125,-0.003115534782409668,0.18310546875,-0.02944421054344275,0.017686553,1.449915885925293,1320,33203.18232421875,0.2
274432,134,5066,54,-17.886203372478484,0.0003,19143.056640625,-0.011141061782836914,0.136572265625,-0.0209443193351035,0.012303702,1.4524389505386353,1330,41432.69353637695,0.2
276480,135,5143,53,-17.92142280936241,0.0003,23494.4765625,0.003709852695465088,0.14794921875,-0.024754784247488715,0.014145197,1.4595580101013184,1340,45774.24453125,0.2
278528,136,5219,53,-17.95117614865303,0.0003,23012.53125,0.003649115562438965,0.141796875,-0.0216292108365451,0.013142582,1.4615823030471802,1350,43555.75063476562,0.2
280576,137,5296,52,-17.967539650201797,0.0003,13885.8203125,2.5212764739990234e-05,0.209765625,-0.03466403922066093,0.01853893,1.465773582458496,1360,44897.2712097168,0.2
282624,138,5374,52,-17.988381868600847,0.0003,15157.708984375,0.022752106189727783,0.15107421875,-0.02197525013543782,0.015303663,1.4667047262191772,1370,41293.35092163086,0.2
284672,139,5452,52,-17.99749974012375,0.0003,13702.611328125,0.019810140132904053,0.02548828125,-0.013126820404431782,0.005761885,1.4678733348846436,1380,32705.279229736327,0.2
286720,140,5531,51,-18.022390794754028,0.0003,13798.916015625,-0.010168671607971191,0.19951171875,-0.030822500551585107,0.019429248,1.4746111631393433,1390,33541.845513916014,0.2
288768,141,5610,51,-18.056347489356995,0.0003,19803.794921875,-0.04557192325592041,0.13662109375,-0.022165716953168157,0.01315607,1.4793602228164673,1400,40660.43140869141,0.2
290816,142,5690,51,-18.103831857442856,0.0003,19211.009765625,0.006666600704193115,0.128759765625,-0.022918396834575104,0.013677349,1.4873672723770142,1410,41816.79046020508,0.2
292864,143,5771,50,-18.17046911120415,0.0003,28302.12890625,0.0001500248908996582,0.2205078125,-0.029833153734216467,0.022156138,1.4961298704147339,1420,39079.40190429687,0.2
294912,144,5852,50,-18.209239894151686,0.0003,23191.0703125,0.0009219050407409668,0.111572265625,-0.019526188900636045,0.0099209035,1.499830722808838,1430,38123.40584106445,0.2
296960,145,5933,50,-18.2241224527359,0.0003,14030.302734375,0.013022303581237793,0.094189453125,-0.021971721778390928,0.011288537,1.5012872219085693,1440,41178.22808227539,0.2
