time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/loss,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates
109,6,112,129024,-0.06627348630863708,-0.13123272359371185,0.0476508,1.1261988878250122,0.38642578125,0.0003,0.2,0.5077094288077205,-15.3638013869524,0.3015602231025696,620
108,7,132,131072,-0.060620612424099815,0.15070988237857819,0.035808355,1.1271694898605347,0.31640625,0.0003,0.2,0.5061416062526405,-15.374102154374123,0.582960844039917,630
107,8,152,133120,-0.06763381903001572,-0.13522869348526,0.063252494,1.1300519704818726,0.422216796875,0.0003,0.2,0.41062679786700756,-15.395121511816978,-0.25921928882598877,640
106,9,173,135168,-0.06364456816809252,-0.14391227066516876,0.043598264,1.1314644813537598,0.348779296875,0.0003,0.2,0.34045243449509144,-15.414301404356957,0.715986430644989,650
105,10,194,137216,-0.056286191631807016,-0.13798144459724426,0.045697656,1.133565902709961,0.357080078125,0.0003,0.2,0.47923920638859274,-15.422735026478767,0.1928519606590271,660
103,11,216,139264,-0.06147527961002197,-0.076541006565094,0.03636071,1.140203833580017,0.325390625,0.0003,0.2,0.5295714218635112,-15.472136887907983,0.3000223636627197,670
103,12,238,141312,-0.06363669856800698,-0.19835759699344635,0.048846,1.142979621887207,0.3798828125,0.0003,0.2,0.2724682246334851,-15.503760108351708,0.4755086898803711,680
102,13,260,143360,-0.06213296876230743,0.050495266914367676,0.049727492,1.1455259323120117,0.3732421875,0.0003,0.2,0.5896185450255871,-15.522280806303025,0.26898616552352905,690
100,14,284,145408,-0.054608987337269356,-0.14726458489894867,0.027718103,1.147490382194519,0.260302734375,0.0003,0.2,0.4965213777497411,-15.537047106027604,0.3942446708679199,700
99,15,307,147456,-0.06461329465382733,0.0218866765499115,0.052166663,1.1463998556137085,0.391064453125,0.0003,0.2,0.44080315260216596,-15.547732454538345,0.5835573375225067,710
99,16,330,149504,-0.0624656935717212,-0.05127754807472229,0.03780234,1.1486380100250244,0.318359375,0.0003,0.2,0.4147923060692847,-15.557231405377388,0.6975343525409698,720
97,17,355,151552,-0.05211699140490964,-0.11234031617641449,0.03279669,1.1567983627319336,0.28095703125,0.0003,0.2,0.7516845986712724,-15.59987877011299,0.5355811417102814,730
97,18,379,153600,-0.05627807467535604,0.1875571608543396,0.03320343,1.1578460931777954,0.2845703125,0.0003,0.2,0.6568862901069223,-15.629501512646675,0.6378618776798248,740
96,19,404,155648,-0.06269621278333944,-0.055665820837020874,0.04203539,1.1613997220993042,0.33896484375,0.0003,0.2,0.5057529432233423,-15.660189470648765,0.0009348392486572266,750
82,1,24,157696,-0.05694909597805235,-0.09177012741565704,0.034013614,1.1636934280395508,0.27607421875,0.0003,0.2,0.614506972534582,-15.678232756257056,0.45834624767303467,760
82,2,49,159744,-0.0657346655294532,-0.005844861268997192,0.05488778,1.1691337823867798,0.41259765625,0.0003,0.2,0.43084029727615414,-15.713377651572227,0.48060882091522217,770
