time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/value_loss,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/std,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss
249856,73,3408,122,49128.86826171875,0.20546875,-16.516854798793794,1210,-2.1457672119140625e-06,0.2,1.2694708108901978,23612.677734375,0.020118143,0.0003,-0.03627889459312428
251904,72,3480,123,48763.30494384766,0.1896484375,-16.5598206281662,1220,-1.1920928955078125e-07,0.2,1.2713077068328857,23049.830078125,0.017075293,0.0003,-0.03222637103899615
253952,71,3553,124,39410.98126220703,0.2359375,-16.59869537949562,1230,-9.5367431640625e-07,0.2,1.2768917083740234,17484.388671875,0.021640992,0.0003,-0.03890077108517289
256000,70,3628,125,55423.920727539065,0.16025390625,-16.614811062812805,1240,-0.027207136154174805,0.2,1.2787325382232666,24853.005859375,0.015150767,0.0003,-0.0290097726858221
258048,69,3701,126,37676.81258544922,0.222119140625,-16.64075160622597,1250,-2.658367156982422e-05,0.2,1.2815980911254883,16782.712890625,0.02175584,0.0003,-0.03506833915307652
260096,68,3775,127,44176.27092285156,0.21337890625,-16.663313841819765,1260,-0.0006732940673828125,0.2,1.2844266891479492,19707.26953125,0.017535467,0.0003,-0.03623983621509978
262144,68,3848,128,49869.67861328125,0.180810546875,-16.71031621694565,1270,-0.00015544891357421875,0.2,1.2921594381332397,23979.02734375,0.016615592,0.0003,-0.03181567633873783
264192,67,3922,129,43300.226190185545,0.218310546875,-16.76368443965912,1280,1.1920928955078125e-07,0.2,1.297745704650879,16381.6865234375,0.02230142,0.0003,-0.03397525771142682
266240,66,3996,130,44869.70582275391,0.1544921875,-16.783874219655992,1290,9.357929229736328e-06,0.2,1.2990375757217407,21191.169921875,0.012642324,0.0003,-0.027553571002499666
268288,65,4074,131,50737.15825195312,0.190576171875,-16.815876448154448,1300,-0.0007867813110351562,0.2,1.3057688474655151,23731.125,0.018267196,0.0003,-0.03205102597712539
270336,64,4159,132,48826.84071044922,0.178125,-16.85113651752472,1310,-0.0003045797348022461,0.2,1.3084049224853516,18328.966796875,0.016565349,0.0003,-0.031496826818329285
272384,64,4242,133,48077.87467041016,0.180078125,-16.888866674900054,1320,-0.0003390312194824219,0.2,1.3160508871078491,27054.69140625,0.0152909625,0.0003,-0.031328741752076894
274432,63,4326,134,46426.57985229492,0.205224609375,-16.968043118715286,1330,-0.0016846656799316406,0.2,1.3270982503890991,22358.35546875,0.01919005,0.0003,-0.03361266048887046
276480,62,4407,135,37213.432604980466,0.188671875,-17.017528355121613,1340,-1.7881393432617188e-06,0.2,1.3304061889648438,17415.025390625,0.016930286,0.0003,-0.031798604654613885
278528,62,4487,136,35763.51297607422,0.2087890625,-17.012457501888274,1350,-1.3232231140136719e-05,0.2,1.3281655311584473,25454.283203125,0.01802407,0.0003,-0.0368249381397618
280576,61,4572,137,32226.526306152344,0.24375,-16.991459345817567,1360,-2.86102294921875e-06,0.2,1.324823021888733,23023.427734375,0.023447767,0.0003,-0.0359953222272452
282624,60,4657,138,48195.157495117186,0.182666015625,-16.998362439870835,1370,-0.036498308181762695,0.2,1.3299000263214111,21592.5078125,0.01698536,0.0003,-0.03221526363195153
284672,60,4734,139,49067.61264648438,0.180908203125,-17.037981355190276,1380,-3.0994415283203125e-06,0.2,1.3347729444503784,26302.85546875,0.016011875,0.0003,-0.031850030017085376
286720,59,4819,140,40144.793157958986,0.257666015625,-17.097381353378296,1390,1.1920928955078125e-07,0.2,1.3446894884109497,21397.724609375,0.023874555,0.0003,-0.0361883822872187
288768,58,4902,141,41299.62250976563,0.28798828125,-17.176298522949217,1400,2.3245811462402344e-06,0.2,1.355485439300537,15262.5380859375,0.023512883,0.0003,-0.037655429130245464
290816,58,4987,142,45666.85791015625,0.347265625,-17.197800189256668,1410,-0.0009645223617553711,0.2,1.3559170961380005,26579.69140625,0.024519946,0.0003,-0.02021356027980801
292864,57,5072,143,41185.71314086914,0.224267578125,-17.217037111520767,1420,-0.002965569496154785,0.2,1.359235167503357,24081.896484375,0.017324332,0.0003,-0.03170945840538479
294912,57,5159,144,41804.01721191406,0.1017578125,-17.23082908987999,1430,0.0006830096244812012,0.2,1.3610419034957886,25249.40234375,0.010558524,0.0003,-0.021798257279442623
296960,56,5247,145,42093.25025024414,0.180078125,-17.25469190478325,1440,0.003925323486328125,0.2,1.365288496017456,21639.953125,0.017311282,0.0003,-0.03100772670295555
299008,56,5330,146,38857.910400390625,0.117724609375,-17.28038426041603,1450,0.004731655120849609,0.2,1.367884635925293,14840.177734375,0.011864615,0.0003,-0.021731036038545426
301056,55,5409,147,43700.972338867185,0.1873046875,-17.31555540561676,1460,-0.009673118591308594,0.2,1.374711513519287,14514.544921875,0.01885894,0.0003,-0.030140069163462613
303104,55,5489,148,40964.24281616211,0.44736328125,-17.347005426883698,1470,3.933906555175781e-06,0.2,1.3768097162246704,20090.232421875,0.044919427,0.0003,-0.004352153427316807
305152,54,5570,149,45866.70007629394,0.0,-17.347575378417968,1480,-0.38793325424194336,0.2,1.3768274784088135,12131.130859375,0.00017998603,0.0003,-0.001979309128364548
307200,54,5651,150,18508.60732345581,0.0,-17.348167723417284,1490,-0.9231575727462769,0.2,1.3770482540130615,2423.615966796875,0.00030382726,0.0003,-0.0023813001476810313
309248,53,5733,151,10359.315954208374,0.000244140625,-17.35019896030426,1500,-1.0059070587158203,0.2,1.377431035041809,3870.45166015625,0.00074332976,0.0003,-0.003255274319963064
311296,53,5816,152,7423.357664108276,0.000732421875,-17.354114884138106,1510,-0.43811333179473877,0.2,1.3782355785369873,1667.46044921875,0.0012376418,0.0003,-0.004944686774979346
313344,53,5900,153,6099.173282241822,0.002734375,-17.358219200372695,1520,-0.8003971576690674,0.2,1.3784769773483276,1466.9752197265625,0.0018560844,0.0003,-0.006735974059847649
315392,52,5984,154,3591.9443479537963,0.005224609375,-17.36118546128273,1530,-0.7916373014450073,0.2,1.3790662288665771,1102.17822265625,0.0030454951,0.0003,-0.007770607630664017
